"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2015-12-1";"1:00AM";"30F";"27F";"86%";"SSW";"2mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"2:00AM";"28F";"27F";"93%";"NE";"1mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"2:30AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"3:00AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"3:30AM";"30F";"27F";"86%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"4:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"MostlyCloudy"
"2015-12-1";"4:30AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"MostlyCloudy"
"2015-12-1";"5:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"MostlyCloudy"
"2015-12-1";"5:30AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"MostlyCloudy"
"2015-12-1";"6:00AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"MostlyCloudy"
"2015-12-1";"6:30AM";"30F";"28F";"93%";"E";"2mph";"0mph";"29.36in";"0.0in";"MostlyCloudy"
"2015-12-1";"7:00AM";"30F";"27F";"86%";"NW";"3mph";"0mph";"29.36in";"0.0in";"Fair"
"2015-12-1";"7:30AM";"30F";"28F";"93%";"N";"1mph";"0mph";"29.36in";"0.0in";"Fair"
"2015-12-1";"8:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.36in";"0.0in";"Fair"
"2015-12-1";"8:30AM";"28F";"28F";"100%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"9:00AM";"30F";"28F";"93%";"VAR";"1mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"9:30AM";"32F";"30F";"93%";"SSE";"3mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"10:00AM";"34F";"30F";"87%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"10:30AM";"36F";"32F";"87%";"CALM";"0mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"11:00AM";"37F";"32F";"81%";"N";"2mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"11:30AM";"37F";"32F";"81%";"NNW";"2mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"12:00PM";"39F";"34F";"81%";"VAR";"1mph";"0mph";"29.42in";"0.0in";"Fair"
"2015-12-1";"12:30PM";"41F";"34F";"76%";"SW";"1mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"1:00PM";"43F";"34F";"70%";"WSW";"2mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"1:30PM";"43F";"36F";"76%";"VAR";"1mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"2:00PM";"43F";"36F";"76%";"CALM";"0mph";"0mph";"29.39in";"0.0in";"Fair"
"2015-12-1";"2:30PM";"43F";"36F";"76%";"SW";"1mph";"0mph";"29.36in";"0.0in";"Fair"
"2015-12-1";"3:30PM";"43F";"36F";"76%";"W";"1mph";"0mph";"29.36in";"0.0in";"Fair"
