"Date";"Time";"Temperature";"DewPoint";"Humidity";"Wind";"WindSpeed";"WindGust";"Pressure";"Precip.";"Condition"
"2018-1-1";"1:00AM";"28F";"27F";"93%";"S";"2mph";"0mph";"29.31in";"0.0in";"Fair"
"2018-1-1";"1:30AM";"28F";"27F";"93%";"CALM";"0mph";"0mph";"29.31in";"0.0in";"Fair"
"2018-1-1";"2:00AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.31in";"0.0in";"Fair"
"2018-1-1";"2:30AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.31in";"0.0in";"Fair"
"2018-1-1";"3:00AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.31in";"0.0in";"Fair"
"2018-1-1";"3:30AM";"27F";"23F";"86%";"SE";"2mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"4:00AM";"25F";"23F";"93%";"CALM";"0mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"4:30AM";"25F";"23F";"93%";"CALM";"0mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"5:00AM";"25F";"23F";"93%";"CALM";"0mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"5:30AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"6:00AM";"25F";"23F";"93%";"CALM";"0mph";"0mph";"29.28in";"0.0in";"Fair"
"2018-1-1";"6:30AM";"25F";"21F";"86%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"7:00AM";"23F";"21F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"7:30AM";"23F";"21F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"8:00AM";"23F";"21F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"8:30AM";"23F";"21F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"9:00AM";"27F";"25F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"9:30AM";"28F";"25F";"86%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"10:00AM";"30F";"28F";"93%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"10:30AM";"32F";"28F";"87%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
"2018-1-1";"11:00AM";"32F";"28F";"87%";"CALM";"0mph";"0mph";"29.25in";"0.0in";"Fair"
