ForecastMW,dayweek,month,year,day,hour,weekend
1010.0,0,1,2018,1,0,False
941.0,0,1,2018,1,1,False
858.0,0,1,2018,1,2,False
799.0,0,1,2018,1,3,False
769.0,0,1,2018,1,4,False
760.0,0,1,2018,1,5,False
781.0,0,1,2018,1,6,False
767.0,0,1,2018,1,7,False
779.0,0,1,2018,1,8,False
838.0,0,1,2018,1,9,False
883.0,0,1,2018,1,10,False
919.0,0,1,2018,1,11,False
901.0,0,1,2018,1,12,False
891.0,0,1,2018,1,13,False
959.0,0,1,2018,1,14,False
973.0,0,1,2018,1,15,False
995.0,0,1,2018,1,16,False
1031.0,0,1,2018,1,17,False
1011.0,0,1,2018,1,18,False
998.0,0,1,2018,1,19,False
974.0,0,1,2018,1,20,False
964.0,0,1,2018,1,21,False
1089.0,0,1,2018,1,22,False
1090.0,0,1,2018,1,23,False
952.0,3,2,2018,1,0,False
837.0,3,2,2018,1,1,False
749.0,3,2,2018,1,2,False
693.0,3,2,2018,1,3,False
675.0,3,2,2018,1,4,False
697.0,3,2,2018,1,5,False
792.0,3,2,2018,1,6,False
874.0,3,2,2018,1,7,False
960.0,3,2,2018,1,8,False
998.0,3,2,2018,1,9,False
1015.0,3,2,2018,1,10,False
1017.0,3,2,2018,1,11,False
1009.0,3,2,2018,1,12,False
1000.0,3,2,2018,1,13,False
1122.0,3,2,2018,1,14,False
1132.0,3,2,2018,1,15,False
1084.0,3,2,2018,1,16,False
1091.0,3,2,2018,1,17,False
1084.0,3,2,2018,1,18,False
1069.0,3,2,2018,1,19,False
1033.0,3,2,2018,1,20,False
1015.0,3,2,2018,1,21,False
1129.0,3,2,2018,1,22,False
1122.0,3,2,2018,1,23,False
1006.0,3,3,2018,1,0,False
895.0,3,3,2018,1,1,False
818.0,3,3,2018,1,2,False
771.0,3,3,2018,1,3,False
755.0,3,3,2018,1,4,False
784.0,3,3,2018,1,5,False
873.0,3,3,2018,1,6,False
922.0,3,3,2018,1,7,False
996.0,3,3,2018,1,8,False
1046.0,3,3,2018,1,9,False
1060.0,3,3,2018,1,10,False
1059.0,3,3,2018,1,11,False
1043.0,3,3,2018,1,12,False
1033.0,3,3,2018,1,13,False
1138.0,3,3,2018,1,14,False
1153.0,3,3,2018,1,15,False
1143.0,3,3,2018,1,16,False
1153.0,3,3,2018,1,17,False
1134.0,3,3,2018,1,18,False
1116.0,3,3,2018,1,19,False
1089.0,3,3,2018,1,20,False
1058.0,3,3,2018,1,21,False
1162.0,3,3,2018,1,22,False
1153.0,3,3,2018,1,23,False
1041.0,6,4,2018,1,0,True
917.0,6,4,2018,1,1,True
828.0,6,4,2018,1,2,True
777.0,6,4,2018,1,3,True
757.0,6,4,2018,1,4,True
779.0,6,4,2018,1,5,True
882.0,6,4,2018,1,6,True
928.0,6,4,2018,1,7,True
985.0,6,4,2018,1,8,True
1027.0,6,4,2018,1,9,True
1041.0,6,4,2018,1,10,True
1042.0,6,4,2018,1,11,True
1030.0,6,4,2018,1,12,True
1024.0,6,4,2018,1,13,True
1110.0,6,4,2018,1,14,True
1126.0,6,4,2018,1,15,True
1096.0,6,4,2018,1,16,True
1105.0,6,4,2018,1,17,True
1083.0,6,4,2018,1,18,True
1064.0,6,4,2018,1,19,True
1040.0,6,4,2018,1,20,True
1017.0,6,4,2018,1,21,True
1128.0,6,4,2018,1,22,True
1147.0,6,4,2018,1,23,True
1034.0,1,5,2018,1,0,False
914.0,1,5,2018,1,1,False
823.0,1,5,2018,1,2,False
760.0,1,5,2018,1,3,False
733.0,1,5,2018,1,4,False
757.0,1,5,2018,1,5,False
831.0,1,5,2018,1,6,False
863.0,1,5,2018,1,7,False
916.0,1,5,2018,1,8,False
965.0,1,5,2018,1,9,False
983.0,1,5,2018,1,10,False
982.0,1,5,2018,1,11,False
966.0,1,5,2018,1,12,False
953.0,1,5,2018,1,13,False
1035.0,1,5,2018,1,14,False
1051.0,1,5,2018,1,15,False
1042.0,1,5,2018,1,16,False
1083.0,1,5,2018,1,17,False
1067.0,1,5,2018,1,18,False
1041.0,1,5,2018,1,19,False
1015.0,1,5,2018,1,20,False
994.0,1,5,2018,1,21,False
1114.0,1,5,2018,1,22,False
1142.0,1,5,2018,1,23,False
1041.0,4,6,2018,1,0,False
924.0,4,6,2018,1,1,False
821.0,4,6,2018,1,2,False
754.0,4,6,2018,1,3,False
728.0,4,6,2018,1,4,False
738.0,4,6,2018,1,5,False
746.0,4,6,2018,1,6,False
730.0,4,6,2018,1,7,False
795.0,4,6,2018,1,8,False
871.0,4,6,2018,1,9,False
921.0,4,6,2018,1,10,False
948.0,4,6,2018,1,11,False
963.0,4,6,2018,1,12,False
981.0,4,6,2018,1,13,False
1124.0,4,6,2018,1,14,False
1154.0,4,6,2018,1,15,False
1126.0,4,6,2018,1,16,False
1107.0,4,6,2018,1,17,False
1046.0,4,6,2018,1,18,False
986.0,4,6,2018,1,19,False
937.0,4,6,2018,1,20,False
921.0,4,6,2018,1,21,False
1032.0,4,6,2018,1,22,False
1048.0,4,6,2018,1,23,False
993.0,6,7,2018,1,0,True
885.0,6,7,2018,1,1,True
794.0,6,7,2018,1,2,True
740.0,6,7,2018,1,3,True
711.0,6,7,2018,1,4,True
722.0,6,7,2018,1,5,True
770.0,6,7,2018,1,6,True
811.0,6,7,2018,1,7,True
921.0,6,7,2018,1,8,True
1021.0,6,7,2018,1,9,True
1074.0,6,7,2018,1,10,True
1087.0,6,7,2018,1,11,True
1087.0,6,7,2018,1,12,True
1082.0,6,7,2018,1,13,True
1073.0,6,7,2018,1,14,True
1076.0,6,7,2018,1,15,True
1139.0,6,7,2018,1,16,True
1185.0,6,7,2018,1,17,True
1173.0,6,7,2018,1,18,True
1143.0,6,7,2018,1,19,True
1120.0,6,7,2018,1,20,True
1102.0,6,7,2018,1,21,True
1086.0,6,7,2018,1,22,True
1044.0,6,7,2018,1,23,True
967.0,2,8,2018,1,0,False
862.0,2,8,2018,1,1,False
777.0,2,8,2018,1,2,False
726.0,2,8,2018,1,3,False
709.0,2,8,2018,1,4,False
732.0,2,8,2018,1,5,False
800.0,2,8,2018,1,6,False
831.0,2,8,2018,1,7,False
894.0,2,8,2018,1,8,False
943.0,2,8,2018,1,9,False
958.0,2,8,2018,1,10,False
958.0,2,8,2018,1,11,False
952.0,2,8,2018,1,12,False
946.0,2,8,2018,1,13,False
1042.0,2,8,2018,1,14,False
1057.0,2,8,2018,1,15,False
1048.0,2,8,2018,1,16,False
1067.0,2,8,2018,1,17,False
1039.0,2,8,2018,1,18,False
1003.0,2,8,2018,1,19,False
976.0,2,8,2018,1,20,False
955.0,2,8,2018,1,21,False
1051.0,2,8,2018,1,22,False
1038.0,2,8,2018,1,23,False
964.0,5,9,2018,1,0,True
849.0,5,9,2018,1,1,True
763.0,5,9,2018,1,2,True
708.0,5,9,2018,1,3,True
692.0,5,9,2018,1,4,True
717.0,5,9,2018,1,5,True
802.0,5,9,2018,1,6,True
856.0,5,9,2018,1,7,True
924.0,5,9,2018,1,8,True
970.0,5,9,2018,1,9,True
984.0,5,9,2018,1,10,True
983.0,5,9,2018,1,11,True
971.0,5,9,2018,1,12,True
966.0,5,9,2018,1,13,True
1055.0,5,9,2018,1,14,True
1071.0,5,9,2018,1,15,True
1057.0,5,9,2018,1,16,True
1080.0,5,9,2018,1,17,True
1058.0,5,9,2018,1,18,True
1043.0,5,9,2018,1,19,True
1017.0,5,9,2018,1,20,True
997.0,5,9,2018,1,21,True
1106.0,5,9,2018,1,22,True
1121.0,5,9,2018,1,23,True
987.0,0,10,2018,1,0,False
865.0,0,10,2018,1,1,False
766.0,0,10,2018,1,2,False
711.0,0,10,2018,1,3,False
696.0,0,10,2018,1,4,False
721.0,0,10,2018,1,5,False
804.0,0,10,2018,1,6,False
843.0,0,10,2018,1,7,False
919.0,0,10,2018,1,8,False
976.0,0,10,2018,1,9,False
999.0,0,10,2018,1,10,False
1006.0,0,10,2018,1,11,False
1001.0,0,10,2018,1,12,False
992.0,0,10,2018,1,13,False
1069.0,0,10,2018,1,14,False
1082.0,0,10,2018,1,15,False
1079.0,0,10,2018,1,16,False
1097.0,0,10,2018,1,17,False
1066.0,0,10,2018,1,18,False
1039.0,0,10,2018,1,19,False
1018.0,0,10,2018,1,20,False
998.0,0,10,2018,1,21,False
1109.0,0,10,2018,1,22,False
1120.0,0,10,2018,1,23,False
1006.0,3,11,2018,1,0,False
883.0,3,11,2018,1,1,False
789.0,3,11,2018,1,2,False
733.0,3,11,2018,1,3,False
721.0,3,11,2018,1,4,False
746.0,3,11,2018,1,5,False
834.0,3,11,2018,1,6,False
880.0,3,11,2018,1,7,False
973.0,3,11,2018,1,8,False
1019.0,3,11,2018,1,9,False
1039.0,3,11,2018,1,10,False
1042.0,3,11,2018,1,11,False
1033.0,3,11,2018,1,12,False
1025.0,3,11,2018,1,13,False
1129.0,3,11,2018,1,14,False
1132.0,3,11,2018,1,15,False
1099.0,3,11,2018,1,16,False
1112.0,3,11,2018,1,17,False
1083.0,3,11,2018,1,18,False
1065.0,3,11,2018,1,19,False
1031.0,3,11,2018,1,20,False
1012.0,3,11,2018,1,21,False
1124.0,3,11,2018,1,22,False
1131.0,3,11,2018,1,23,False
1005.0,5,12,2018,1,0,True
883.0,5,12,2018,1,1,True
790.0,5,12,2018,1,2,True
733.0,5,12,2018,1,3,True
719.0,5,12,2018,1,4,True
746.0,5,12,2018,1,5,True
837.0,5,12,2018,1,6,True
892.0,5,12,2018,1,7,True
968.0,5,12,2018,1,8,True
1023.0,5,12,2018,1,9,True
1047.0,5,12,2018,1,10,True
1053.0,5,12,2018,1,11,True
1041.0,5,12,2018,1,12,True
1026.0,5,12,2018,1,13,True
1117.0,5,12,2018,1,14,True
1128.0,5,12,2018,1,15,True
1088.0,5,12,2018,1,16,True
1108.0,5,12,2018,1,17,True
1087.0,5,12,2018,1,18,True
1078.0,5,12,2018,1,19,True
1043.0,5,12,2018,1,20,True
1026.0,5,12,2018,1,21,True
1138.0,5,12,2018,1,22,True
1137.0,5,12,2018,1,23,True
1013.0,5,1,2018,13,0,True
897.0,5,1,2018,13,1,True
810.0,5,1,2018,13,2,True
756.0,5,1,2018,13,3,True
732.0,5,1,2018,13,4,True
744.0,5,1,2018,13,5,True
817.0,5,1,2018,13,6,True
842.0,5,1,2018,13,7,True
921.0,5,1,2018,13,8,True
990.0,5,1,2018,13,9,True
1024.0,5,1,2018,13,10,True
1029.0,5,1,2018,13,11,True
1027.0,5,1,2018,13,12,True
1023.0,5,1,2018,13,13,True
1116.0,5,1,2018,13,14,True
1126.0,5,1,2018,13,15,True
1108.0,5,1,2018,13,16,True
1116.0,5,1,2018,13,17,True
1107.0,5,1,2018,13,18,True
1089.0,5,1,2018,13,19,True
1049.0,5,1,2018,13,20,True
1026.0,5,1,2018,13,21,True
1107.0,5,1,2018,13,22,True
1105.0,5,1,2018,13,23,True
1014.0,6,1,2018,14,0,True
922.0,6,1,2018,14,1,True
839.0,6,1,2018,14,2,True
788.0,6,1,2018,14,3,True
758.0,6,1,2018,14,4,True
760.0,6,1,2018,14,5,True
809.0,6,1,2018,14,6,True
853.0,6,1,2018,14,7,True
951.0,6,1,2018,14,8,True
1042.0,6,1,2018,14,9,True
1107.0,6,1,2018,14,10,True
1113.0,6,1,2018,14,11,True
1110.0,6,1,2018,14,12,True
1110.0,6,1,2018,14,13,True
1105.0,6,1,2018,14,14,True
1116.0,6,1,2018,14,15,True
1172.0,6,1,2018,14,16,True
1210.0,6,1,2018,14,17,True
1194.0,6,1,2018,14,18,True
1174.0,6,1,2018,14,19,True
1156.0,6,1,2018,14,20,True
1134.0,6,1,2018,14,21,True
1121.0,6,1,2018,14,22,True
1065.0,6,1,2018,14,23,True
980.0,0,1,2018,15,0,False
873.0,0,1,2018,15,1,False
796.0,0,1,2018,15,2,False
745.0,0,1,2018,15,3,False
727.0,0,1,2018,15,4,False
750.0,0,1,2018,15,5,False
863.0,0,1,2018,15,6,False
919.0,0,1,2018,15,7,False
1009.0,0,1,2018,15,8,False
1071.0,0,1,2018,15,9,False
1100.0,0,1,2018,15,10,False
1104.0,0,1,2018,15,11,False
1095.0,0,1,2018,15,12,False
1106.0,0,1,2018,15,13,False
1205.0,0,1,2018,15,14,False
1200.0,0,1,2018,15,15,False
1154.0,0,1,2018,15,16,False
1167.0,0,1,2018,15,17,False
1154.0,0,1,2018,15,18,False
1132.0,0,1,2018,15,19,False
1095.0,0,1,2018,15,20,False
1076.0,0,1,2018,15,21,False
1181.0,0,1,2018,15,22,False
1174.0,0,1,2018,15,23,False
994.0,1,1,2018,16,0,False
883.0,1,1,2018,16,1,False
801.0,1,1,2018,16,2,False
751.0,1,1,2018,16,3,False
735.0,1,1,2018,16,4,False
757.0,1,1,2018,16,5,False
840.0,1,1,2018,16,6,False
880.0,1,1,2018,16,7,False
963.0,1,1,2018,16,8,False
992.0,1,1,2018,16,9,False
1001.0,1,1,2018,16,10,False
1005.0,1,1,2018,16,11,False
999.0,1,1,2018,16,12,False
990.0,1,1,2018,16,13,False
1101.0,1,1,2018,16,14,False
1102.0,1,1,2018,16,15,False
1098.0,1,1,2018,16,16,False
1104.0,1,1,2018,16,17,False
1086.0,1,1,2018,16,18,False
1071.0,1,1,2018,16,19,False
1041.0,1,1,2018,16,20,False
1012.0,1,1,2018,16,21,False
1121.0,1,1,2018,16,22,False
1119.0,1,1,2018,16,23,False
1016.0,2,1,2018,17,0,False
893.0,2,1,2018,17,1,False
803.0,2,1,2018,17,2,False
752.0,2,1,2018,17,3,False
739.0,2,1,2018,17,4,False
766.0,2,1,2018,17,5,False
859.0,2,1,2018,17,6,False
907.0,2,1,2018,17,7,False
986.0,2,1,2018,17,8,False
1036.0,2,1,2018,17,9,False
1053.0,2,1,2018,17,10,False
1048.0,2,1,2018,17,11,False
1030.0,2,1,2018,17,12,False
1024.0,2,1,2018,17,13,False
1132.0,2,1,2018,17,14,False
1128.0,2,1,2018,17,15,False
1108.0,2,1,2018,17,16,False
1118.0,2,1,2018,17,17,False
1100.0,2,1,2018,17,18,False
1082.0,2,1,2018,17,19,False
1053.0,2,1,2018,17,20,False
1033.0,2,1,2018,17,21,False
1149.0,2,1,2018,17,22,False
1155.0,2,1,2018,17,23,False
1032.0,3,1,2018,18,0,False
903.0,3,1,2018,18,1,False
813.0,3,1,2018,18,2,False
761.0,3,1,2018,18,3,False
744.0,3,1,2018,18,4,False
772.0,3,1,2018,18,5,False
863.0,3,1,2018,18,6,False
909.0,3,1,2018,18,7,False
988.0,3,1,2018,18,8,False
1042.0,3,1,2018,18,9,False
1064.0,3,1,2018,18,10,False
1061.0,3,1,2018,18,11,False
1046.0,3,1,2018,18,12,False
1041.0,3,1,2018,18,13,False
1153.0,3,1,2018,18,14,False
1162.0,3,1,2018,18,15,False
1108.0,3,1,2018,18,16,False
1122.0,3,1,2018,18,17,False
1110.0,3,1,2018,18,18,False
1086.0,3,1,2018,18,19,False
1048.0,3,1,2018,18,20,False
1025.0,3,1,2018,18,21,False
1133.0,3,1,2018,18,22,False
1137.0,3,1,2018,18,23,False
1018.0,4,1,2018,19,0,False
894.0,4,1,2018,19,1,False
803.0,4,1,2018,19,2,False
760.0,4,1,2018,19,3,False
752.0,4,1,2018,19,4,False
769.0,4,1,2018,19,5,False
825.0,4,1,2018,19,6,False
839.0,4,1,2018,19,7,False
925.0,4,1,2018,19,8,False
